address,provisional_name,confidence,notes
0x00406CC0,update_registered_boss_slot2,high,dormant registered boss combat; destructible sprite pixels; state2 counter45 +100
0x00407980,initialize_registered_boss_slot2,high,boss dispatch slot2; proper asset identity unresolved
0x00407AB0,release_registered_boss_slot2_assets,high,guarded release survives; loader absent/unidentified in shareware PE
0x0040B380,game_shutdown,medium,"frees timer and many global buffers, shuts subsystems"
0x0040BA50,game_dispatch_update,high,top-level state dispatcher and giant gameplay branch
0x00411456,frame_limiter_busywait,high,QPC low32 delta >= 0x3A98 when guard enabled
0x00413290,load_mothership_assets,high,loads hull/panel/damage/hub/motor/hole Mothership asset cluster
0x00413870,release_mothership_assets,high,guarded cleanup of Mothership entities and encounter audio
0x00413940,blit_sprite_scaled_transparent_clipped,high,16.16 nearest-neighbor scaled indexed sprite; zero transparent; 320x200 clipping
0x00414D80,update_spidey_boss,high,registered Spidey composite combat; state2 counter45 +100
0x00415AC0,initialize_spidey_boss,high,boss dispatch slot3
0x00415C80,load_spidey_boss_assets,high,Spidey JBA family + Spidey.wav + Level4.wav; assets absent from shareware install
0x00415F40,release_spidey_boss_assets,high,guarded Spidey cleanup
0x00415FA0,update_trajectory_groups,high,"17-group lifecycle/path updater: modes 0/1/2/10, stagger activation, path wrap retirement, X/Y/AUX following, random accelerated breakaway"
0x00416700,update_lid_top_boss,high,combat/movement/bombs/special collisions; lid state2 counter25 awards +100 and top state2
0x00417220,initialize_lid_top_boss,high,top active at X0/Y-100; live/demo difficulty-sensitive motion; lid starts state6
0x00417350,load_lid_top_boss_assets,high,lid.jba 9x36x40; top.jba 68x56; retro1.wav; level1.wav
0x00417450,release_lid_top_boss_assets,high,paired guarded resource cleanup
0x004174D0,load_high_scores_file,high,opens scores rt; reads ten padded/obfuscated high-score records
0x00417570,decode_obfuscated_high_score_name,high,decodes name through stored 3-digit padding length and filler runs
0x00417700,decode_obfuscated_high_score_number,high,decodes decimal integer through padding/filler runs
0x00417F50,initialize_gameplay_session,high,large session/world initializer; writes 3 lives and game-over banner motion defaults; subordinate semantics partial
0x00418AC0,run_main_menu,high,renders seven main-menu choices and assigns exact state transitions; invokes joystick/instructions/ordering/high-score modal handlers
0x0041A460,save_demo_replay_text,high,writes demo.dat wt; 2101x14 values via %d\n
0x0041A5F0,load_demo_replay_text,high,loads data\<name> rt; 2101x14 %d scans into replay channel arrays
0x0041AFB0,run_high_score_table,high,"exact modes: menu (0,0,0), insertion (1,index,disarmed); index0 placeholder/no-save quirk established"
0x0041B730,run_ordering_information,high,ORDERING INFORMATION menu modal selected by raw state 7
0x0041C4B0,run_instructions_viewer,high,nine-page instr01..instr09 modal; loops while state 3 and exits via state 4
0x0041CDF0,trigger_player_destruction_sequence,high,starts player destruction effects/state; life decrement occurs later at settlement gate
0x0041D220,trigger_drone_detonation_sequence,high,sets Drone activity 2; captures entity center; resets detonation timing/settlement state; applies established -1000 score consequence
0x0041D690,run_mission_outcome_transition,high,objective outcome interstitial; encounter-only reset; six-way scenery/resource transition; shareware count2 stop; zero-detonation Mothership branch
0x0041E420,animate_game_over_banner_slide,high,117x20 gameover.jba fixed-point slide; 108 vblank-paced presents; X 325 -> 100
0x0041E4D0,update_drone_detonation_effect,high,post-trajectory state-2 call; phase0 + tick>25 + Drone state2 gate; explosion emission and direct framebuffer detonation effects
0x0041E6D0,render_player_shield_effect,high,shield-active player visual effect; exact pixel algorithm partial
0x0041EB70,render_shield_meter,high,HUD uses shield_energy>>16 and draws per-unit meter with threshold palette changes
0x0041EBE0,render_drone_detonation_radial_noise,high,direct-framebuffer randomized radial/mirrored detonation points using captured Drone center
0x0041F120,save_high_scores_file,high,opens scores wt; writes ten records
0x0041F220,encode_obfuscated_high_score_name,high,300..699 random filler bytes before each meaningful name byte
0x0041F390,encode_obfuscated_high_score_number,high,padding/filler decimal integer writer
0x00420020,play_sfx_from_20_voice_pool,high,scans 20 sound-slot indices for a non-playing buffer using GetStatus then starts the selected slot
0x00421CD0,crt_fopen_like,high,CRT file open used by JBA loader
0x00421D20,crt_free_like,high,free-like
0x00421D70,crt_malloc_like,high,malloc-like
0x00421EC0,crt_srand,high,stores seed in Microsoft-runtime PRNG state
0x00421ED0,crt_rand,high,15-bit Microsoft-runtime PRNG used heavily by gameplay
0x00421F00,crt_fscanf_like,high,fscanf-like
0x00404720,run_completion_credits,high,credits.wav + credit1.jba/credit2.jba sequence; perfect six-disarm Mothership completion
0x004174A0,confirm_input_pressed,high,Enter or accepted joystick confirmation; result screen calls after exact 58-present lock
0x00420090,normalize_joystick_gameplay_actions,high,state2 call; +/-360 axis dead zone and configured rapid/load/launch/shield button mappings
0x00401570,draw_bitmap_glyph_mask,high,FONT2 glyph mask: zero transparent; nonzero writes caller color
0x004015D0,extract_font2_glyph_mask,high,copies descriptor width x height from 320-stride FONT2.JBA source into cached mask
0x00401630,allocate_bitmap_record_pixels,high,allocates width*height+1 and stores pointer at descriptor +0x10
0x00403490,advance_generic_gameplay_palette_animation,high,"animates working palette bands 64..170,192..213,224..233; signed RGB steps; blue bounds/stop; 2% inactive activation"
0x0041EE90,advance_gameplay_palette_effect_bands,high,"updates flash 110..112, red breathing 96..102, yellow 128..148, green 103..109 purpose-built bands"
0x0041EFE0,initialize_gameplay_palette_effect_bands,high,initializes four dynamic gameplay palette bands and their rand-derived phase/toggle/period state
