id,platform,address,provisional_name,category,confidence,status,known_callers,known_callees,key_globals,correspondence_id,evidence,notes
WIN-FN-019,windows,0x00421F00,crt_fscanf_like,runtime,high,established,ASCII data loaders,,,,C runtime behavior/call signature,Analysis anchor; not game logic
WIN-FN-088,windows,0x0041C4B0,run_instructions_viewer,state/ui,high,established,run_main_menu when selection index 1,load_jba_320x200; presentation/input helpers,game_state_raw,,Loads instr01.jba..instr09.jba; loop continues while game_state_raw==3 and exits through state 4,Nine-page instructions modal
WIN-FN-089,windows,0x0041B730,run_ordering_information,state/ui,high,established,run_main_menu when selection index 2,presentation/input/resource helpers,game_state_raw,,Main-menu ORDERING INFORMATION selection writes state 7 then immediately invokes 0x0041B730; routine owns ordering-information presentation path,Presentation internals remain less completely named than modal ownership
DOS-FN-001,dos,0x00067F1C,vga_palette_update,render/platform,medium,candidate,DOS JBA path,,,CORR-PAL-001,Palette-side routine adjacent to recovered JBA path,Exact I/O semantics to document with disassembly
DOS-FN-002,dos,0x00067F60,image_buffer_alloc,asset/memory,medium,candidate,DOS image path,,,,Adjacent image setup,Role/name remains provisional
DOS-FN-003,dos,0x00067F90,load_jba_320x200,asset,high,established,,Watcom file/runtime + palette path,,CORR-JBA-001,Matches Win32 JBA behavior,Independent algorithm witness
DOS-FN-004,dos,0x0007ECB4,hmi_sample_loader,audio/platform,medium,candidate,,HMI audio path,,CORR-AUD-001,DOS/HMI sound-side loader context,"Behavioral counterpart to Windows audio loading, not one-to-one function mapping"
DOS-FN-005,dos,0x0008A4A4,watcom_malloc_like,runtime,high,established,many,,,,Watcom runtime behavior,Analysis anchor
DOS-FN-006,dos,0x0008A848,watcom_free_like,runtime,high,established,many,,,,Watcom runtime behavior,Analysis anchor
DOS-FN-007,dos,0x0008A777,watcom_fopen_like,runtime,high,established,asset/data loaders,,,,Watcom runtime behavior,Analysis anchor
DOS-FN-008,dos,0x0008AA2E,watcom_fclose_like,runtime,high,established,asset/data loaders,,,,Watcom runtime behavior,Analysis anchor
DOS-FN-009,dos,0x0008BE83,watcom_fscanf_like,runtime,high,established,ASCII data loaders,,,,Watcom runtime behavior,Analysis anchor
WIN-FN-020,windows,0x00401660,blit_sprite_transparent_clipped,render,high,established,gameplay/render paths,,framebuffer/screen-row offset table,,"Uses object x/y,width/height,current_frame/frame table; clips; skips zero pixels",8-bit indexed framebuffer blitter; original right-edge comparison uses literal 319; clean semantic reconstruction in src/fidelity/sprite_blit.cpp
WIN-FN-021,windows,0x00401780,sprite_entity_init,render/entity,high,established,initialization and many object pools,0x00421E90 runtime float-to-int helper,0x0042A000 scale constant,CORR-SPRITE-001,Initializes 0x154 object fields and clears 32 frame pointers,Source name unknown; common visual/game object initializer
WIN-FN-022,windows,0x00401820,sprite_entity_release_frames,asset/memory,high,established,object teardown paths,crt_free_like,,,Frees object frame pointers up to byte +0x141,Establishes +0x141 as loaded frame count
WIN-FN-023,windows,0x00421EC0,crt_srand,runtime,high,established,startup/game paths,,0x0042C0F4 PRNG state,,Stores caller seed directly to uint32 PRNG state 0x0042C0F4,Exact seed store; startup seed origin API remains intentionally unasserted
WIN-FN-024,windows,0x00421ED0,crt_rand,runtime,high,established,many gameplay paths,,0x0042C0F4 PRNG state,,state=state*214013+2531011 with uint32 wrap; return (state>>16)&0x7fff,Exact classic MSVC 15-bit CRT LCG; clean deterministic implementation in gameplay/original_random.*
DOS-FN-010,dos,0x0006940C,wait_vga_vertical_retrace,timing/render-platform,high,established,many DOS render/game paths; proven Tab-gated frame call at 0x0007DC92,,,CORR-TIME-001,polls VGA status port 0x3DA until bit 0x08 is set,0x0007DC89 calls it iff DOS vertical_retrace_sync_mode data offset 0xD0 == +1
DOS-FN-011,dos,0x00067E78,vga_dac_write_entry,render/platform,high,established,palette code,,,CORR-PAL-001,writes VGA DAC index 0x3C8 and component port 0x3C9,hardware palette primitive
DOS-FN-012,dos,0x00067E94,vga_dac_read_entry,render/platform,high,established,palette code,,,,uses VGA DAC read-index 0x3C7 and data port 0x3C9,hardware palette primitive
WIN-FN-025,windows,0x004018F0,wait_vertical_blank_thunk,timing/render-platform,high,established,state-2 gameplay/render paths,0x004061E0,,CORR-TIME-001,single unconditional jump; 8 direct call instructions inside true state-2 entry routine before 0x004115BD return,"DirectDraw special-presentation primitive; three additional nearby calls after 0x004115BD are in adjacent helpers, not state-2 itself"
WIN-FN-026,windows,0x004061E0,ddraw_wait_vertical_blank,timing/render-platform,high,established,0x004018F0,,,,IDirectDraw vtable slot 0x58 with flags=4 event=null,Explicit DirectDraw vertical-blank primitive; separate from QPC guard
WIN-FN-027,windows,0x00406730,directsound_play_slot,audio/platform,high,established,,,,,sets selected secondary-buffer position to zero then invokes IDirectSoundBuffer::Play,
WIN-FN-028,windows,0x00406780,directsound_set_volume,audio/platform,high,established,,,,,maps caller volume scale then invokes IDirectSoundBuffer::SetVolume,
WIN-FN-029,windows,0x004067B0,directsound_set_frequency,audio/platform,high,established,,,,,invokes IDirectSoundBuffer::SetFrequency,
WIN-FN-030,windows,0x004067D0,directsound_stop_reset,audio/platform,high,established,,,,,invokes Stop then SetCurrentPosition(0),
WIN-FN-031,windows,0x00406860,directsound_get_status,audio/platform,high,established,,,,,invokes IDirectSoundBuffer::GetStatus and returns flags,
WIN-FN-032,windows,0x00420020,play_sfx_from_20_voice_pool,audio/gameplay,high,established,many state-2 SFX paths,directsound_get_status; directsound_play_slot,,,scans 20 slot indices and starts first non-playing voice,Common original voice-pool allocator
WIN-FN-033,windows,0x00401000,ddraw_palette_get_entry,render/platform,high,established,,,,,DirectDrawPalette GetEntries for one palette entry; surface unlock/relock guard,
WIN-FN-034,windows,0x004010A0,capture_palette_range,render/platform,high,established,,ddraw_palette_get_entry,,,captures caller-selected palette range,
WIN-FN-035,windows,0x00401470,draw_bitmap_text,render/ui,high,established,menus and gameplay feedback,,,CORR-TEXT-001,lazy-loads font2.jba; indexes ASCII-0x20 glyph table,Renders VERTICAL RETRACE and other status/menu text
WIN-FN-036,windows,0x00401E60,spawn_mini_explosion_sprite,gameplay/effects,high,established,,,,,"allocates mini-explosion pool sprite, centers on source, inherits motion",
WIN-FN-037,windows,0x00401F60,point_in_entity_hitbox,gameplay/collision,high,established,,,,,inclusive point test against collision extents +0x28/+0x2A,clean implementation in gameplay/collision.cpp
WIN-FN-038,windows,0x00401FA0,point_hits_opaque_sprite_pixel,gameplay/collision,high,established,,,,,tests current-frame pixel; palette index zero is transparent,clean implementation in gameplay/collision.cpp
WIN-FN-039,windows,0x00402000,point_plus_y9_in_entity_hitbox,gameplay/collision,high,established,,,,,same hitbox family after +9 Y adjustment,used by late bomb/special and bomb/player collision paths
WIN-FN-040,windows,0x00402050,emit_composite_explosion_effect,gameplay/effects,high,established,,,,,randomized explosion/debris orchestration; periodic large-effect delegation,
WIN-FN-041,windows,0x00402430,activate_sprite_with_random_velocity,gameplay/effects,high,established,,,,,activates in-bounds sprite and assigns randomized +0x10/+0x14 motion,
WIN-FN-042,windows,0x004024B0,emit_large_explosion_effect,gameplay/effects,high,established,,,,,large randomized explosion/mini/debris effect plus expscale audio,
WIN-FN-043,windows,0x00402770,center_sprite_on_entity_copy_velocity,gameplay/effects,high,established,,,,,centers destination on source entity and inherits source motion,
WIN-FN-044,windows,0x004027B0,emit_debris_particle_group,gameplay/effects,medium,partial,,,,,0x61C group pool with 0x18-byte randomized particles,exact particle-family identity still partial
WIN-FN-045,windows,0x00402900,play_explosion_sfx_variant,audio/gameplay,high,established,,,,,cycles explode2/explode3/explode4 voice pools,
WIN-FN-046,windows,0x00406B80,copy_software_framebuffer_to_surface,render/platform,high,established,,,,,copies logical 64k framebuffer to locked DirectDraw surface respecting pitch,
WIN-FN-047,windows,0x00406BE0,copy_surface_to_software_framebuffer,render/platform,high,established,,,,,reverse pitched 320x200 copy,
WIN-FN-048,windows,0x00406C40,fill_locked_surface,render/platform,high,established,,,,,fills 320x200 locked DirectDraw surface respecting pitch,
WIN-FN-049,windows,0x00401860,extract_guttered_sprite_frame,asset/sprite,high,established,,,,,copies width*height from 320x200 JBA grid origin cell*(dimension+1)+1,clean implementation in fidelity/sprite_sheet.cpp
WIN-FN-050,windows,0x00401900,allocate_jba_sheet_pixels,asset/memory,high,established,,,,,allocates 0xFA01 bytes and stores JBA sheet pixel pointer at container +0x4494,
WIN-FN-051,windows,0x00401450,free_jba_sheet_pixels,asset/memory,high,established,,,,,frees JBA sheet pixel pointer at container +0x4494,
WIN-FN-052,windows,0x00401D20,spawn_explosion_sprite,gameplay/effects,high,established,,,,,allocates/initializes explosion sprite from source entity context,
WIN-FN-053,windows,0x0041A460,save_demo_replay_text,demo/replay,high,established,,,,,writes data\demo.dat as 2101x14 %d newline-separated values,hybrid deterministic replay recorder
WIN-FN-054,windows,0x0041A5F0,load_demo_replay_text,demo/replay,high,established,,,,,loads data\<name> as 2101x14 %d scans into nine byte and five word channel arrays,original writes 32-bit fscanf values into narrowed channel storage
WIN-FN-055,windows,0x0041E6D0,render_player_shield_effect,render/gameplay,high,partial,player render path when 0x0046198C is active,,player_entity; player_shield_active,,mutates player-interior indexed pixels then draws symmetric randomized shield points,role established; exact lookup-table geometry still partial
WIN-FN-056,windows,0x0041EB70,render_shield_meter,render/ui,high,established,HUD path,,player_shield_energy,,uses shield_energy >> 16 and draws one meter element per displayed unit with threshold palette changes,establishes fixed-point/high-word shield display semantics
WIN-FN-057,windows,0x00417F50,initialize_gameplay_session,gameplay/session,high,partial,game state 1 and restart/demo transition paths,asset/background/subsystem initialization cluster,player_lives; vertical_retrace_sync_mode; demo_playback_mode; game_over_banner_entity,,Argument 1 performs full campaign/new-game reset; argument 0 jumps over campaign-wide score/lives/outcome/scenery reset into shared encounter initialization,Reset-scope split established: run_mission_outcome_transition calls argument 0 specifically to preserve mission-wide score/lives/outcomes/processed count; subordinate initializer details remain partial
WIN-FN-058,windows,0x0041E420,animate_game_over_banner_slide,gameplay/ui,high,established,state-2 final-life settlement at 0x0040E2DB,crt_malloc_like; copy_surface_to_software_framebuffer; blit_sprite_transparent_clipped; wait_vertical_blank_thunk; copy_software_framebuffer_to_surface; crt_free_like,game_over_banner_entity,,Snapshots 64000-byte framebuffer; applies fixed-point X slide; blits 117x20 gameover.jba; vblank/present loop; 108 iterations from canonical init,Clean gameplay core models only fixed-point state; presentation remains host/fidelity responsibility
WIN-FN-059,windows,0x004174D0,load_high_scores_file,persistence/high-score,high,established,high-score initialization/menu flow,decode_obfuscated_high_score_name; decode_obfuscated_high_score_number; CRT file I/O,high_score_names; high_score_drones_disarmed; high_score_scores; high_score_mothership_destroyed; high_score_percentage_hit,,opens literal scores in rt mode and decodes exactly ten records,DOS correspondence established via CORR-SCORES-001; all four numeric semantics resolved
WIN-FN-060,windows,0x00417570,decode_obfuscated_high_score_name,persistence/high-score,high,established,load_high_scores_file,CRT byte/file reads,,,skips noise3; parses three-digit padding; skips noise3; repeatedly skips padding and reads meaningful char until NUL,Clean decoder adds bounds checks absent from original
WIN-FN-061,windows,0x00417700,decode_obfuscated_high_score_number,persistence/high-score,high,established,load_high_scores_file,CRT byte/file reads,,,parses padding envelope plus decimal digit count and reconstructs integer after filler runs,Normal recovered values use 1..4 decimal digits
WIN-FN-062,windows,0x0041AFB0,run_high_score_table,ui/high-score,high,established,main-menu high-score display; post-results qualification/insertion path,text/input/render helpers; save_high_scores_file on insertion index > 0,high_score_scores; high_score_names; high_score_drones_disarmed; high_score_mothership_destroyed; high_score_percentage_hit,,"Exact call modes established: menu (0,0,0), post-results (1,insertion_index,disarmed_count); index0 directly installs placeholder without editor/save",Pixel-level presentation details remain non-blocking; mutation/input/state semantics are established
WIN-FN-063,windows,0x0041F120,save_high_scores_file,persistence/high-score,high,established,run_high_score_table / score persistence flow,encode_obfuscated_high_score_name; encode_obfuscated_high_score_number; CRT file I/O,high_score_names; high_score_drones_disarmed; high_score_scores; high_score_mothership_destroyed; high_score_percentage_hit,,opens literal scores in wt mode and writes exactly ten parallel-array entries,Writer uses CRT rand-derived filler
WIN-FN-064,windows,0x0041F220,encode_obfuscated_high_score_name,persistence/high-score,high,established,save_high_scores_file,crt_rand; CRT byte/file writes,,,"writes noise3, padding rand()%400+300 as three digits, noise3, then padding random A-Z bytes before each name byte including NUL",Clean compatible encoder intentionally uses deterministic filler instead
WIN-FN-065,windows,0x0041F390,encode_obfuscated_high_score_number,persistence/high-score,high,established,save_high_scores_file,crt_rand; CRT byte/file writes,,,"writes padding envelope, decimal string length, then padding random digits before each meaningful decimal digit","Physical scheme is obfuscation/padding, not encryption"
DOS-FN-013,dos,0x000895CC,encode_obfuscated_high_score_name,persistence/high-score,high,established,save_high_scores_file,Watcom rand/output helpers,,CORR-SCORES-001,"writes 3 rand%10 digits, padding rand%400+300, 3 rand%10 digits, then padding rand%26+A bytes before each name byte including NUL",Algorithmic match to Win32 name writer
DOS-FN-014,dos,0x0008974C,encode_obfuscated_high_score_number,persistence/high-score,high,established,save_high_scores_file,Watcom rand/output/string helpers,,CORR-SCORES-001,same padding envelope; writes decimal length then random decimal filler before each meaningful digit,Algorithmic match to Win32 numeric writer
DOS-FN-015,dos,0x000898C8,load_high_scores_file,persistence/high-score,high,established,DOS high-score initialization/menu flow,decode_obfuscated_high_score_name; decode_obfuscated_high_score_number; watcom_fopen_like; watcom_fclose_like,DOS high-score parallel arrays,CORR-SCORES-001,opens scores with rt; loops ten entries; 30-byte names; decodes four numeric values per record,Physical reader independently matches Win32
DOS-FN-016,dos,0x00089954,decode_obfuscated_high_score_name,persistence/high-score,high,established,load_high_scores_file,Watcom stream byte helpers,,CORR-SCORES-001,skips envelope/filler according to three-digit padding and copies meaningful bytes until NUL,Algorithmic match to Win32 name reader
DOS-FN-017,dos,0x00089C60,decode_obfuscated_high_score_number,persistence/high-score,high,established,load_high_scores_file,Watcom stream byte helpers,,CORR-SCORES-001,decodes decimal digit count and filler-separated decimal payload,Algorithmic match to Win32 numeric reader
WIN-FN-066,windows,0x00413290,load_mothership_assets,asset/gameplay/mothership,high,established,post-six-Drone encounter transition,load_jba_320x200; sprite frame extraction/init helpers,Mothership hull/panel/damage/hub/motor/hole entities; Mothership asset-loaded guard,,"Sequential literal loads of hull0..3.jba, panel0..3.jba, damage0/1.jba, hub.jba, motor.jba and hole.jba into the composite encounter object family",README identifies alien Mothership after all six Drones are disarmed; shareware corpus contains this asset/code cluster
WIN-FN-067,windows,0x00413870,release_mothership_assets,asset/gameplay/mothership,high,established,Mothership/session cleanup paths,release_entity_frames; DirectSound release helpers,Mothership hull/panel/core/hole/hub/motor/damage entities; Mothership SFX handles; asset-loaded guard 0x004D95D0,CORR-MSHIP-001,guarded cleanup releases the same encounter entities/audio loaded by 0x00413290 and clears the asset-loaded guard,paired lifecycle function with load_mothership_assets
DOS-FN-018,dos,0x0006C964,load_mothership_assets,asset/gameplay/mothership,high,established,DOS setup/encounter initialization path including call at 0x00085E57,load_jba_320x200; DOS sprite-frame extraction helper 0x0006812C,DOS Mothership hull/panel/damage/hub/motor/hole object family; loaded guard at data address 0x0000005D,CORR-MSHIP-001,"LE internal fixups resolve hull0..3, panel0..3, damage0/1, hub, motor and hole object-4 strings to one loader region 0x0006C964..0x0006CDAC",metadata xrefs in reverse/dos/mothership_asset_xrefs.csv
DOS-FN-019,dos,0x0006CDB0,release_mothership_assets,asset/gameplay/mothership,high,established,DOS cleanup paths at 0x000770AE and 0x00086C56,DOS entity-frame release helper 0x000682D0,same Mothership object family; loaded guard at data address 0x0000005D,CORR-MSHIP-001,guarded paired cleanup immediately follows DOS loader and releases the same composite object roots before clearing loaded guard,strong structural match to Win32 0x00413870
WIN-FN-068,windows,0x00416700,update_lid_top_boss,gameplay/boss,high,established,state-2 gameplay orchestrator 0x0040E858,collision helpers; enemy bomb spawn/update helpers; DirectSound helpers; explosion/debris emitters; crt_rand,lid entity 0x004406F8; top entity 0x00446E00; total_score; extra_life_progress,,Moves composite root; derives subobject positions; handles missiles/special weapon/bombs; lid state2 counter reaches 25 then awards +100 and top state2,Descriptive resource-derived name; original boss name unknown
WIN-FN-069,windows,0x00417220,initialize_lid_top_boss,gameplay/boss,high,established,boss dispatch at 0x0040E836,DirectSound play helpers,demo_playback_mode; difficulty_level; lid entity; top entity,,Sets top activity 1/root X0 Y-100; initializes fixed-point motion based on demo/difficulty; lid state6; starts boss audio,Selected for processed Drone counts 0 and 4
WIN-FN-070,windows,0x00417350,load_lid_top_boss_assets,asset/gameplay/boss,high,established,transition/demo/resource setup paths including 0x0041DED6 and 0x0041A3D6,load_jba_320x200; extract_sprite_frame; load_wav; DirectSound volume helper,lid entity; top entity; retro1 handle; level1 handle; loaded guard 0x004D95B8,,Loads lid.jba nine 36x40 frames; top.jba one 68x56 frame; retro1.wav; level1.wav; sets guard,Proves lid.jba belongs to this boss family rather than Mothership
WIN-FN-071,windows,0x00417450,release_lid_top_boss_assets,asset/gameplay/boss,high,established,cleanup/transition paths including 0x0040B3EA and 0x0041DC0A,release_entity_frames; DirectSound release helpers,lid entity; top entity; retro1 handle; level1 handle; loaded guard 0x004D95B8,,Guarded paired cleanup releases exactly the resources loaded by 0x00417350 then clears guard,
WIN-FN-072,windows,0x0041D690,run_mission_outcome_transition,gameplay/progression/presentation,high,established,state-2 post-Drone settlement path,load_jba_320x200; initialize_gameplay_session; encounter resource load/release helpers; interstitial presentation helpers,drone_outcomes; drone_outcome_processed_count; world_scenery_buffer 0x004D9598; player_lives,,Counts disarmed/detonated prefix; selects goodN/badN and missionN/miss6yes/no; six-way processed-count branch; calls initialize_gameplay_session(0); branch6 zero-detonations loads Mothership,Primary mission-outcome/interstitial/next-encounter role established; proprietary presentation helper internals remain separate fidelity work
DOS-FN-020,dos,0x00085D10,run_mothership_orders_presentation,presentation/mothership,medium,partial,0x0007E845 mode 1; 0x00082E5A mode 0,DOS Mothership asset loader/releaser; CLV playback; JBA loader; VGA retrace/palette helpers,function-local thunder2.clv handle; Mothership resources,,Loads/plays thunder2.clv; calls 0x0006C964; cycles order1.jba..order5.jba; releases resources; no score or live Mothership-result writes observed,Presentation role established; exact narrative/ending role and mode argument meaning partial
WIN-FN-073,windows,0x00405000,update_gemini_boss,gameplay/boss,high,established,state-2 gameplay orchestrator 0x0040E879,collision; bomb/projectile; effects/audio helpers,Gemini paired body/head entities; total_score; extra_life_progress,,Native update owns shared-root movement, opposing animation, phase-2 bombs, head-first/body-second Probe/Stinger opaque collision, asymmetric damage thresholds and independent +100/20-tick destruction paths,Resource identity established by paired Gemini loader/initializer.
WIN-FN-074,windows,0x00405EF0,initialize_gemini_boss,gameplay/boss,high,established,boss dispatch slot 1 thunk 0x0040E844,DirectSound play helper,Gemini paired body/head states; difficulty; movement state; gemini/level2 sounds,,"Activates both Gemini body/head pairs, initializes motion/state, and starts encounter audio",Normally reachable as the second shareware boss.
WIN-FN-075,windows,0x00405FB0,load_gemini_boss_assets,asset/gameplay/boss,high,established,world/session setup path 0x0041DC0F,load_jba_320x200; extract_guttered_sprite_frame; load_wav,Gemini body/head frame banks; 0x004D95BC; gemini.wav/level2.wav handles,,"Builds 30-frame Gemini body bank from Gemini1/2 plus Gemhead shared head frame, loads Gemini.wav and Level2.wav, sets guard",All resources present in canonical Windows shareware corpus.
WIN-FN-076,windows,0x00406CC0,update_registered_boss_slot2,gameplay/boss,high,established,state-2 gameplay orchestrator 0x0040E891,collision; bomb/projectile; effects/audio helpers,slot2 root 0x0047EA80 and component entities; total_score; extra_life_progress,,Surviving registered encounter update includes direct destructible sprite-pixel clearing and state2 counter45 +100 destruction milestone,Visual/proper identity unresolved because dedicated resource loader is absent/unidentified.
WIN-FN-077,windows,0x00407980,initialize_registered_boss_slot2,gameplay/boss,high,established,boss dispatch slot 2 thunk 0x0040E828,encounter/audio helpers,slot2 root and component states,,Initializes dormant registered boss slot 2 selected after two processed Drone outcomes in full progression,Not normally reachable in canonical shareware campaign.
WIN-FN-078,windows,0x00407AB0,release_registered_boss_slot2_assets,asset/gameplay/boss,high,established,game/session cleanup and world transitions,sprite_entity_release_frames; DirectSound release helpers,slot2 component entities; asset guard 0x004D95C0,,Guarded cleanup for three slot2 sprite/component roots and associated audio survives despite missing/unidentified load path,Strong evidence a fuller registered build supplied omitted resources/loader.
WIN-FN-079,windows,0x00414D80,update_spidey_boss,gameplay/boss,high,established,state-2 gameplay orchestrator 0x0040E8A8,collision; bomb/projectile; effects/audio helpers,Spidey root 0x004402D0; components; total_score; extra_life_progress,,Composite Spidey combat path; state2 progression reaches 45 then awards +100 and enters destruction effects,Registered resource family absent from supplied shareware install.
WIN-FN-080,windows,0x00415AC0,initialize_spidey_boss,gameplay/boss,high,established,boss dispatch slot 3 thunk 0x0040E82F,encounter/audio helpers,Spidey root/components; state/progression,,Initializes Spidey composite encounter selected after three processed Drone outcomes,Registered progression.
WIN-FN-081,windows,0x00415C80,load_spidey_boss_assets,asset/gameplay/boss,high,established,registered world-transition setup 0x0041DD8B,load_jba_320x200; extract_guttered_sprite_frame; load_wav,Spidey frame banks; 0x004D95C4; spidey/level4 audio handles,,"Loads spidey1/2/3, spidey01/02/03, spideydo, Spidey.wav and Level4.wav; sets guard",Resource literals survive PE; files absent from shareware corpus.
WIN-FN-082,windows,0x00415F40,release_spidey_boss_assets,asset/gameplay/boss,high,established,game/session cleanup and world transitions,sprite_entity_release_frames; DirectSound release helpers,Spidey entities; 0x004D95C4; audio handles,,Guarded cleanup releases Spidey frame banks/audio and clears guard,Paired with 0x00415C80.
WIN-FN-083,windows,0x00403650,update_bomber_boss,gameplay/boss,high,established,state-2 gameplay orchestrator 0x0040E8C0,collision; bomb/projectile; effects/audio helpers,Bomber root 0x00464BE8; components; total_score; extra_life_progress,,Composite Bomber combat path; state2 progression reaches 60 then awards +100 and enters destruction effects,Correct start is 0x00403650; 0x00403600 is a preceding helper ending at 0x00403649.
WIN-FN-084,windows,0x00404350,initialize_bomber_boss,gameplay/boss,high,established,boss dispatch slot 5 thunk 0x0040E83D,encounter/audio helpers,Bomber root/components; state/progression,,Initializes Bomber composite encounter selected after five processed Drone outcomes,Registered progression.
WIN-FN-085,windows,0x004044B0,load_bomber_boss_assets,asset/gameplay/boss,high,established,registered world-transition setup 0x0041E019,load_jba_320x200; extract_guttered_sprite_frame; load_wav,Bomber component frame banks; 0x004D95C8; bomber/squish/absorb/level3 audio handles,,Loads bombmid/bombleft/bombrite/bombtop and Bomber1/Squish1/Absorb/Level3 audio; sets guard,Resource literals survive PE; files absent from shareware corpus.
WIN-FN-086,windows,0x00404690,release_bomber_boss_assets,asset/gameplay/boss,high,established,game/session cleanup and world transitions,sprite_entity_release_frames; DirectSound release helpers,Bomber component entities; 0x004D95C8; audio handles,,Guarded cleanup releases Bomber frame banks/audio and clears guard,Paired with 0x004044B0.
DOS-FN-021,dos,0x00067E50,set_bios_video_mode,platform/video,high,established,DOS startup at 0x0006E005,DPMI/real-mode interrupt wrapper 0x0008A487,,,"Caller passes EAX=0x13; helper clears AH, places AL in interrupt register frame and invokes interrupt 0x10",Canonical startup therefore explicitly selects BIOS video mode 13h.
