id,platform,address,provisional_name,type_or_width,confidence,status,known_writers,known_readers,evidence,notes
WIN-GL-011,windows,0x004417C0,trajectory_leftdrop_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Leftdrop.fly allocation/load site; original loader count 200,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-012,windows,0x00464B18,trajectory_ritedrop_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Ritedrop.fly allocation/load site; original loader count 200,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-013,windows,0x0043FDF8,trajectory_frisbee1_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Frisbee1.fly allocation/load site; original loader count 937,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-014,windows,0x0043FE08,trajectory_frisbee2_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Frisbee2.fly allocation/load site; original loader count 426,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-015,windows,0x00454AF0,trajectory_leftdive_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Leftdive.fly allocation/load site; original loader count 119,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-016,windows,0x00466C78,trajectory_rightdiv_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Rightdiv.fly allocation/load site; original loader count 119,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-017,windows,0x00454B08,trajectory_swarm_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Swarm.fly allocation/load site; original loader count 950,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-018,windows,0x00466AF0,trajectory_swoop_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Swoop.fly allocation/load site; original loader count 190,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-019,windows,0x00441A80,trajectory_newcurly_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Newcurly.fly allocation/load site; original loader count 232,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
WIN-GL-020,windows,0x004D9594,software_framebuffer,pointer to guarded 320x200 indexed buffer,high,established,startup alloc at 0x00407C06-0x00407C35,sprite/text/gameplay rendering; surface copy paths,allocates 0xFF00 bytes then advances pointer by 0x280; presentation copies 0xFA00 bytes to locked surface,"0xFF00 = 204 rows at 320 bytes; +0x280 = two guard rows before logical row 0, leaving two rows after"
WIN-GL-023,windows,0x0042EFD8,explosion_sfx_variant_cycle,8-bit scalar,high,established,0x00402900,0x00402900,cycles through values 1..4 to choose explosion WAV voice pool,cases 1/2 share explode2.wav pool
WIN-GL-024,windows,0x0042EFD4,composite_explosion_cadence_counter,16-bit scalar,high,established,0x00402050,0x00402050,incremented each composite-effect call; at 0x13 resets to zero and delegates to 0x004024B0,19-call cadence
WIN-GL-025,windows,0x0042B140,logical_framebuffer_height,32-bit scalar,high,established,static initializer,0x00401660 clipped sprite blitter,canonical initialized value is 200; vertical clipping compares and subtracts this value,Pairs with fixed 320-byte logical row stride
WIN-GL-026,windows,0x0047FCB8,framebuffer_row_offsets,200 x uint16,high,established,startup loop 0x00407BBC-0x00407BD7,sprite/render helpers including 0x00401660,startup writes row_index*320 for exactly 200 entries; blitter indexes by Y,uint16 is sufficient because max row offset is 199*320 = 63680
WIN-GL-027,windows,0x0042B174,explosion_entity_capacity,32-bit scalar,high,established,static initializer,explosion pool initialization and emitters,canonical initialized value 165; used as bound with 0x154 entities rooted at 0x00446FC8,Pool initialization covers even/odd indices with alternating 42x38 / 38x42 geometry
WIN-GL-028,windows,0x004D95D4,explosion_active_count,32-bit scalar,high,established,explosion spawn/update/free paths,0x00401D20 and effect paths,0x00401D20 rejects spawn at capacity and increments on activation; other effect paths decrement/update,Exact lifecycle decrement sites remain to be named
WIN-GL-029,windows,0x004D95E0,explosion_allocation_cursor,32-bit scalar,high,established,0x00401D20,0x00401D20,round-robin scan index modulo 0x0042B174 capacity for inactive pool entry,Used to choose next candidate in 0x00446FC8 pool
WIN-GL-030,windows,0x00466B18,player_entity,0x154-byte common entity root,high,established,player init/input/respawn/gameplay paths,"render, collision, projectile spawn, death/effects",ship.jba initializes/populates this root; state-2 input and many player-specific paths converge here,Current frame at +0x140=0x00466C58; activity/state at +0x142=0x00466C5A
WIN-GL-031,windows,0x0042F200,rapid_missile_pool,8 x 0x154 common entities,high,established,pool init; Ctrl spawn; missile update/collision,missile update/collision/render,"0x154 indexing in 0x0040CAxx, 0x0040E2E0, 0x0040F06F, 0x00410AF1",Entries initialized 1x9 and share three missile.jba frame pointers
WIN-GL-032,windows,0x0042B198,rapid_missile_capacity,32-bit scalar,high,established,static initializer,"Ctrl allocation, update, collision, render loops",canonical initialized value 8 and all missile loops compare against it,Pool root WIN-GL-031
WIN-GL-033,windows,0x00440274,rapid_missile_active_count,32-bit scalar,high,established,Ctrl spawn increments; collision/retirement pass decrements,fire capacity gate,0x0040CA46-0x0040CB7A; 0x0040F2F4-0x0040F309,Count tracks active normal rapid-fire missiles
WIN-GL-034,windows,0x004406F4,rapid_missile_fire_cooldown,32-bit scalar,high,established,state-2 cadence increment; successful Ctrl spawn reset,Ctrl/joystick fire gate,0x0040C03B-0x0040C04A saturates at 8; 0x0040CA55/0x0040CA99 gate; 0x0040CB74 reset,Update-count interval; real-time rate depends on unresolved simulation cadence
WIN-GL-035,windows,0x00446028,rapid_missile_sfx_voice_pool,20 DirectSound buffer-slot handles/indices,high,established,audio initialization 0x0041F4F0,Ctrl fire and scripted/alternate missile firing,base WAV load string 0x0042C060 resolves missile.wav; 19 duplicates plus base; passed to 0x00420020,Ctrl-fire path also applies frequency value 0x5622 to selected voice
WIN-GL-036,windows,0x004336A8,shield_sfx_voice_pool,20 DirectSound buffer-slot handles/indices,high,established,audio initialization,Space-key shield path,source string resolves shields.wav; state-2 Space branch passes pool to 0x00420020,Supports separation of Space shield from Ctrl rapid fire
WIN-GL-037,windows,0x0045A148,special_projectile_entity,0x154-byte common entity root,high,established,common init; special input/update/collision paths,special update/collision/render/targeting paths,probe.jba and redprobe.jba populate frame slots 0/1; root uses WIN-STRUCT-002 layout,3x8 entity; +0x140 selects Probe/Stinger and +0x142 is lifecycle state
WIN-GL-038,windows,0x0045A288,special_weapon_kind_current_frame,byte / entity +0x140,high,established,asset init; Down-key cycle,homing/collision/targeting/render paths,frame0=probe.jba; frame1=redprobe.jba; cycle wraps at 2,Alias field inside WIN-GL-037 rather than independent storage
WIN-GL-039,windows,0x0045A28A,special_weapon_activity_state,byte enum / entity +0x142,high,established,load/launch/collision/reset/disarm paths,input/update/collision/render paths,0 inactive; 1 loaded/tracking; 2 Probe attached/decoding; 3 launched/homing; 4 hole interaction entered by collision with hole.jba and rendered with it; 10 impact-consumed terminal state reset to 0 on next common update,State 4 downstream target/entity 0x00472598 is only partially classified; state 10 generic terminal semantics are established.
WIN-GL-040,windows,0x0045A17E,special_switch_progress,int16 / entity +0x36 scratch,high,established,state-1 increment; load/cycle/reset paths,Down-key cycle gate,increments to WIN-GL-041 then cycle allowed and resets to zero,Demonstrates +0x36 is object-specific scratch not universally trajectory_step
WIN-GL-041,windows,0x0045A184,special_switch_threshold,int16 / entity +0x3C scratch,high,established,gameplay reset,state-1 progress/cycle gate,0x004187AB initializes canonical value 12,Cycle debounce/progress threshold in update counts
WIN-GL-042,windows,0x0042EFE4,special_launch_sound,DirectSound buffer handle,high,established,audio initialization,Up-key launch and special collision/reset paths,source string 0x0042BFEC resolves probe3.wav,Common state-1 -> state-3 launch sound
WIN-GL-043,windows,0x00446C2C,special_load_toggle_sound,DirectSound buffer handle,high,established,audio initialization,Down-key load/cycle paths,source string 0x0042BFE0 resolves ignite2.wav,Played by both initial load and loaded-kind cycle
WIN-GL-044,windows,0x00464B40,stinger_sfx_voice_pool,20 DirectSound buffer-slot handles/indices,high,established,audio initialization,special/Stinger impact paths,source string 0x0042BF00 resolves stinger1.wav; passed to 0x00420020,Reusable voice pool
WIN-GL-045,windows,0x00446080,drone_target_entity,0x154-byte common entity root,high,established,Drone init/update/gameplay paths; session init writes X=155/Y=-850; demo playback restores X/Y,Probe homing/collision/decode/targeting; demo recording; boss-approach dispatch reads +0x04 Y,Initialized 15x38 at 0x00407F69 and populated from drone.jba; common +0x00/+0x04 fields are X/Y; state-2 dispatches boss at Y=-200,Canonical blue-Probe target and mission Drone objective entity; +0x04 is not a scenery/world-scroll scalar.
WIN-GL-046,windows,0x0042B1A8,difficulty_level,byte enum,high,established,difficulty selection menu,enemy/gameplay scaling; Probe decode threshold setup,menu cycles 1..3 and renders BEGINNER/INTERMEDIATE/ADVANCED,1 Beginner; 2 Intermediate; 3 Advanced
WIN-GL-047,windows,0x0045BDDA,probe_decode_phase1_elapsed,uint16-like counter,high,established,Probe attach/reset; decode update,decode phase-1 threshold comparison,state2 decode path increments until 0x0045BDE0,Reset on frame-0 Drone attachment
WIN-GL-048,windows,0x0045BDE0,probe_decode_phase1_threshold,uint16-like threshold,high,established,Probe attachment timer setup,decode phase-1 progression,normal formula (rand()%70+450)*difficulty; alternate mode constant 210,Units are gameplay updates; wall-clock duration unresolved
WIN-GL-049,windows,0x0045BDDC,probe_decode_phase2_elapsed,uint16-like counter,high,established,Probe attach/phase transition; decode update,decode phase-2 threshold comparison,incremented after phase1 status advances until 0x0045BDE2,Separate from special entity lifecycle byte
WIN-GL-050,windows,0x0045BDE2,probe_decode_phase2_threshold,uint16-like threshold,high,established,Probe attachment timer setup,decode phase-2 progression,normal formula (rand()%70+300)*difficulty; alternate mode constant 150,Units are gameplay updates; wall-clock duration unresolved
WIN-GL-051,windows,0x00440594,demo_playback_mode,32-bit scalar flag,high,established,attract/demo transition sets 1; normal gameplay init clears,"state-2 input, trajectory/bomb replay, Probe timing, live-RNG guards",demo loader transition sets before state2; replay channels substitute for live inputs when 1,0 live gameplay; 1 demo playback
WIN-GL-052,windows,0x00466B00,demo_recording_enabled,32-bit scalar flag,high,established,game init clears; terminal recorder path clears; enabling writer not yet located,input/bomb/Drone recording writers; replay frame-index increment; save-at-end path,nonzero gates writes to replay channels and causes 0x0041A460 save at terminal frame,Exact UI/hidden path that sets nonzero remains open
WIN-GL-053,windows,0x0047EBD4,demo_frame_index,32-bit scalar,high,established,gameplay init reset; state-2 increments during playback/recording,all replay channel consumers/writers,indexes all 14 parallel arrays; increments when playback or recording flag is active,Canonical data contains 2101 frames indexed 0..2100
WIN-GL-068,windows,0x004651A0,bomb_projectile_pool,N x 0x154 common entities,high,partial,pool init; live bomb spawning; demo playback,bomb update/collision/render paths,1x9 entity initialization; bomb.jba loaded and three frames propagated; replay fields 10-12 activate/position entries,Capacity follows 0x0042B1A4; movement/collision semantics still being decomposed
WIN-GL-054,windows,0x00454B18,demo_ch01_left,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Left Arrow accepted action,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-055,windows,0x00468E50,demo_ch02_right,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Right Arrow accepted action,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-056,windows,0x00461990,demo_ch03_special_up,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Up Arrow / launch loaded Probe-Stinger,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-057,windows,0x004D8518,demo_ch04_special_down,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Down Arrow / load-cycle Probe-Stinger,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-058,windows,0x00433BA8,demo_ch05_shield,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Space shield action,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-059,windows,0x004324E0,demo_ch06_rapid_missile,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Ctrl rapid-missile action,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-060,windows,0x0043E588,demo_ch07_trajectory_group_slot,2101 x signed byte,high,established,0x0041A5F0 loader,0x0041A460 writer; state-2 playback consumers,trajectory-group pool slot; canonical sentinel 99,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-061,windows,0x00462A48,demo_ch08_trajectory_x_offset,2101 x signed int16,high,established,0x0041A5F0 loader,0x0041A460 writer; state-2 playback consumers,copied to trajectory-group +0x08 signed X offset,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-062,windows,0x0047EC40,demo_ch09_trajectory_path_family,2101 x signed byte,high,established,0x0041A5F0 loader,0x0041A460 writer; state-2 playback consumers,0..3 path-family selector; canonical sentinel 99,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-063,windows,0x00467DE8,demo_ch10_bomb_spawned,2101 x signed byte,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,bomb spawn event flag,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-064,windows,0x004D6438,demo_ch11_bomb_x,2101 x signed int16,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,spawned bomb X,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-065,windows,0x004D4360,demo_ch12_bomb_y,2101 x signed int16,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,spawned bomb Y,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-066,windows,0x0046C0B8,demo_ch13_drone_x,2101 x signed int16,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Drone entity X checkpoint,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-067,windows,0x00469FE8,demo_ch14_drone_y,2101 x signed int16,high,established,0x0041A5F0 loader and recording-enabled gameplay paths,0x0041A460 writer; state-2 playback consumers,Drone entity Y checkpoint,See docs/formats/DEMO_DAT.md and docs/reverse/DEMO_REPLAY.md
WIN-GL-069,windows,0x0042B1A4,bomb_projectile_capacity,32-bit initialized scalar,high,established,static initialized data value 10,bomb init/spawn/update/collision/render loops,canonical PE bytes encode 10; all bomb pool loops bound against this scalar,Pool root 0x004651A0; do not confuse with rapid-missile capacity 0x0042B198
WIN-GL-070,windows,0x00446F6C,bomb_projectile_active_count,32-bit scalar,high,established,live/replay bomb spawn increments; collision/retirement decrements,spawn capacity guards and bomb scheduler,0x0040DA67/0x0040DD5B increment; 0x0040F589 decrement after activity clears,Tracks active entries in 10-slot 0x154 pool
WIN-GL-071,windows,0x0047FCB0,player_shield_energy,signed 32-bit accumulator,high,established,gameplay initialization/respawn; per-update recharge; Space/demo-shield drain,shield activation path; 0x0041EB70 HUD renderer,init/respawn writes 0x004B0000; recharge adds 0x514 while high word <75; activation subtracts 0xBB80 and clamps negative to zero; HUD shifts right 16,"Displayed unit count is high 16 bits. Recharge guard checks only high word, so low-word accumulation can overshoot exact 75<<16 without clamping."
WIN-GL-072,windows,0x0046198C,player_shield_active,byte flag,high,established,state-2 shield input path clears each update and sets when requested/player-active/energy remains,player collision protection paths; shield-effect renderer gate,Space/demo channel 5 path at 0x0040C971-0x0040CA25; renderer checks flag before calling 0x0041E6D0,Protection is false when post-drain energy reaches zero.
WIN-GL-117,windows,0x0042B18C,trajectory_group_count,32-bit scalar,high,established,game/session initialization writes 17,update_trajectory_groups outer loop,0x00415FA0 iterates exactly this many fixed-stride groups; canonical initialization seeds 17,Canonical Win32 pool contains 17 trajectory groups
WIN-GL-118,windows,0x0042B190,active_trajectory_group_count,32-bit scalar,high,established,group activation/spawn increments; zero-active teardown decrements; initialization,trajectory/group scheduling paths,0x00415FA0 decrements when group +0x02 reaches zero; spawn paths increment on group activation,"Tracks active group records, distinct from per-group active_entity_count"
WIN-GL-119,windows,0x00495CF0,trajectory_group_pool,17 x 0x2148-byte records,high,established,trajectory group initialization/spawn/update paths,update_trajectory_groups and trajectory spawning/render paths,0x00415FA0 base plus fixed 0x2148 group stride; 0x0042B18C canonical count 17,Each record has 0x14-byte recovered header followed by inline 0x154-byte entities
DOS-GL-001,dos,data offset 0x000000D0,vertical_retrace_sync_mode,32-bit scalar,high,established,0x00080BD6 initializes +1; 0x00078345-0x0007834C negates on Tab,0x000783ED sync-feedback branch; 0x0007DC89 gameplay/presentation retrace gate,object-4 strings VERTICAL RETRACE / SYNC OFF / SYNC ON; key-state offset 0x0F; wait_vga_vertical_retrace called only when value == +1,Flat-data offset follows canonical DOS disassembly convention; values mirror Win32 +1/-1 protocol.
WIN-GL-073,windows,0x004603A8,player_hit_bigexp3_sfx_voice_pool,20 DirectSound buffer slots,high,established,audio init 0x0041F6CF-0x0041F739 loads bigexp3.wav and clones 19 secondary buffers,bomb/player collision and multiple destructive-impact paths via 0x00420020,literal at 0x0042C008 is bigexp3.wav; base slot 0x004603A8 followed by clones through <0x004603F8,Base buffer frequency is set to 0x3A98 (15000 Hz) and volume caller value 0x5A.
WIN-GL-074,windows,0x0042B1AC,player_lives,signed 32-bit scalar,high,established,0x00417F50 normal init writes 3; hidden L-key path writes 9; state-2 death settlement decrements,state-2 entry/post-game gate; HUD life display; collision/death logic,normal init 0x00417FA7; L-key 0x0040C392; HUD 0x00410FD3; settlement 0x0040E287-0x0040E2B0,"Life is consumed at deferred death settlement, not in player destruction routine"
WIN-GL-075,windows,0x004671E8,game_over_banner_entity,0x154-byte common entity root,high,established,startup entity init; gameplay session init; animate_game_over_banner_slide,game-over banner blitter; shutdown frame release,117x20 entity initialized at 0x00407CA6; gameover.jba loaded/extracted; X/Y/fixed-X/velocity initialized at 0x00417FE6; rendered by 0x0041E420,Runtime start X=325 Y=90; fixed_x=325<<16; velocity=270000; one frame
WIN-GL-076,windows,0x00438C14,enemy_bomb_spawn_gate_counter,signed 32-bit saturating counter,high,established,session init=-450; state-2 increments toward 5; successful bomb spawns reset 0; player destruction writes -20*death_effect_terminal_frame,multiple bomb spawn paths require ==5; player death settlement requires >-356,0x0040C04A increment/saturate; 0x0040DABD spawn gate; 0x0040DA70 reset; 0x0041CE13 death write; 0x0040E272 respawn threshold,Canonical death-effect terminal frame 27 produces -540; first respawn-eligible value -355 occurs after 185 state-2 increments
WIN-GL-077,windows,0x00472590,drone_outcomes,"byte array, six objective slots semantically established",high,established,Drone destructive path writes 2; normal disarm/progression path writes 1; session init clears first storage,HUD; post-game/results count reduction; progression/high-score paths,0x0040BF94-0x0040BFAE writes 2/increments; 0x0040E6E3-0x0040E708 writes 1/increments; 0x004116CF-0x00411718 counts statuses; result art uses count(value1),0 unresolved; 1 disarmed; 2 detonated. Processed prefix bounded by 0x00433B54.
WIN-GL-078,windows,0x00433B54,drone_outcome_processed_count,signed 32-bit scalar,high,established,session init=0; Drone resolution paths increment,trajectory/bomb/gameplay progression; HUD; post-game outcome reduction,0x00417FB7 clears; 0x0040BFA3-0x0040BFAC increments and compares 6; 0x0040E702-0x0040E708 increments; 0x004116CF bounds results loop,Counts/indices resolved Drone objectives; canonical mission count is six
WIN-GL-079,windows,0x004D95F4,total_score,signed 32-bit scalar,high,established,normal score awards/penalties; Drone detonation path; HUD normalization,HUD; extra-life/results/high-score flow,shared event writers mutate alongside 0x004D95F8; post-results qualifier compares this value to high-score table,HUD subtracts exactly 9999 once when >=9999
WIN-GL-080,windows,0x004D95F8,extra_life_progress,signed 32-bit scalar,high,established,normal score awards/penalties; Drone detonation reset; 500-point conversion; HUD floor,state-2 extra-life threshold; HUD,same signed deltas as total score; >=500 grants one life then subtracts 500,Mutable progress bucket; ordinary penalties can reduce it
WIN-GL-081,windows,0x004461D8,high_score_disqualified,32-bit scalar/boolean semantics,high,established,gameplay session init clears; L-key cheat sets 1,post-results high-score eligibility gate,L-key branch also sets lives=9/state99; state99 prints DISQUALIFIED FROM HIGH SCORES; qualifier bypasses when nonzero,Independent demo-playback exclusion uses 0x00440594
WIN-GL-082,windows,0x00434D68,high_score_scores,10 x signed 16-bit,high,established,score-file loader; high-score insertion,qualification scan; high-score display; score-file save,strict comparison scan and parallel-array insertion/save/load,Index 0 lowest score; index 9 highest
WIN-GL-083,windows,0x00469EB8,high_score_names,10 x 30-byte slots,high,established,score-file loader; name-entry/insertion,high-score display; score-file save,0x1E stride; interactive name entry capped at 25 characters,Persistent storage slot larger than interactive maximum
WIN-GL-084,windows,0x00446F58,high_score_drones_disarmed,10 x signed 16-bit,high,established,score-file loader; insertion computes current Drone outcomes,high-score display; score-file save,insertion counts outcome byte ==1 and writes this array,Outcome 1 independently established as disarmed
WIN-GL-085,windows,0x00440428,high_score_mothership_destroyed,10 x signed 16-bit,high,established,score-file loader; high-score insertion copies live mothership_destroyed flag,high-score display; score-file save,0x0041AFB0 insertion stores low word of 0x00464B90; live flag set to 1 at 0x00412C7F after Mothership destruction milestone,Legacy field is signed 16-bit; established live producer uses boolean-style 0/1
WIN-GL-086,windows,0x00446DE8,high_score_percentage_hit,10 x signed 16-bit,high,established,score-file loader; high-score insertion computes integer hit percentage,high-score display; score-file save,Insertion computes (alien_ships_hit*100)/alien_ships_total; original Disarm results artwork labels Percentage Hit; DOS computes corresponding ratio,Integer percentage persisted as signed 16-bit
WIN-GL-087,windows,0x00464B90,mothership_destroyed,32-bit scalar / boolean semantics,high,established,session/encounter initialization clears; Mothership destruction milestone writes 1,high-score insertion,0x00412C7F writes 1 immediately after +500 award and thunder2 SFX at Mothership destruction threshold; 0x0041AFB0 stores low word into per-entry array 0x00440428,Semantic field persists as Mothership destroyed in legacy scores table
WIN-GL-088,windows,0x00472598,mothership_core_target_entity,0x154-byte common entity root,high,partial,common entity init; Mothership encounter positioning/update,special-weapon state-4 collision; Mothership update/effects; post-game core-state checks,Initialized as common entity at 0x0040832E; positioned relative to Mothership composite around 0x004120E3; collision with state-4 Stinger can set +0x142 state 2,Core/target ownership established; full visual/physical identity and all state values remain partial
WIN-GL-089,windows,0x004725CA,mothership_destruction_counter,signed 16-bit counter,high,established,encounter init/reset; core-state destruction update increments,Mothership destruction effects/terminal sequencing,Reset when core enters state 2; incremented on update phase and compared to 0x004725D0; later thresholds >100 and >170 drive terminal decay/end behavior,"Counter is encounter sequence time/progression, not a hit counter"
WIN-GL-090,windows,0x004725D0,mothership_destruction_award_threshold,signed 16-bit scalar,high,established,Mothership encounter initialization writes 15,destruction counter compare,"0x004185BC writes 15; 0x00412C3D compares incremented counter and at equality awards +500, plays thunder2, sets mothership_destroyed=1",Threshold is 15 update-phase counts; wall-clock duration awaits cadence resolution
WIN-GL-091,windows,0x004406F8,lid_top_boss_lid_entity,0x154-byte common entity root,high,established,common entity constructor; boss update; sprite asset loader,boss update; renderer/collision paths; cleanup,Constructed 36x40; receives nine lid.jba frames; +0x140/+0x141 current/count and +0x142 encounter state,Descriptive resource-derived identity; original boss name unknown
WIN-GL-092,windows,0x0044083A,lid_top_boss_lid_state,common entity +0x142 byte,high,established,boss initializer/update/special collision/destruction,boss update/state branches,Exactly 0x004406F8+0x142; values 0/1/2/6 observed; state2 drives destruction counter,Not a freestanding conceptual global
WIN-GL-093,windows,0x0044072C,lid_top_boss_destruction_counter,common entity +0x34 signed 16-bit scratch,high,established,special collision resets; boss state2 update increments,boss state2 threshold compare,Exactly lid entity +0x34; reset on transition to state2; threshold 25 triggers +100 destruction milestone,"Progression/update count, not hit count"
WIN-GL-094,windows,0x00446E00,lid_top_boss_top_entity,0x154-byte common entity root,high,established,common entity constructor; boss initializer/update; top.jba loader,boss update/render/collision/cleanup,Constructed 68x56; populated by top.jba cell0; root position/motion drives composite subobjects,Composite root/top visual entity
WIN-GL-095,windows,0x00446F42,lid_top_boss_top_state,common entity +0x142 byte,high,established,boss initializer and destruction transitions,state2 orchestrator; boss update/render paths,Exactly top entity +0x142; init state1; destruction milestone writes state2; later update can clear state,
WIN-GL-096,windows,0x004D95B8,lid_top_boss_assets_loaded,byte guard,high,established,load/release lid-top boss assets,load/release lid-top boss assets,0x00417350 avoids duplicate load and sets 1; 0x00417450 guards cleanup and clears 0,
