id,area,claim,confidence,status,primary_evidence,cross_check,implementation,documentation
FMT-FLY-003,FLY,Canonical Rightdiv.fly and Swarm.fly are each one triple shorter than the corresponding Win32 loader loop request,high,established,canonical file counts 118/949 vs loader comparisons 0x77/0x3B6,DOS and Windows packaged trajectory files match,src/formats/fly.cpp,docs/formats/FLY.md
DOS-TIME-001,timing,DOS linear 0x0006940C waits for VGA vertical retrace by polling port 0x3DA until bit 0x08 is set,high,established,BIN-DOS-SW-01 disassembly,supplied README documents user-toggleable vertical retrace sync,,docs/TIMING.md
WIN-SPRITE-001,rendering/structures,Win32 0x00401660 is a clipped transparent 8-bit sprite blitter using a common 0x154-byte object; source palette index 0 is transparent,high,established,BIN-WIN-SW-01 0x00401660 + 0x00401780/0x00401820,fields shared by trajectory-owned objects and many 0x154-stride loops,src/fidelity/indexed_framebuffer.cpp,docs/reverse/STRUCTURE_RECOVERY.md
WIN-TRAJ-001,trajectory/structures,Win32 trajectory groups point at X/Y/AUX pointer slots and contain inline 0x154-byte entities; spawn positions use path X/Y plus entity/group offsets,high,established,BIN-WIN-SW-01 near 0x00409060 and 0x0040D156-0x0040D223,known FLY loader pointer triplets feed the groups,,docs/PHASE2.md
DOS-LE-001,tooling/executable,Canonical DOS LE load objects can be reproduced from LE object/page tables; object 1 extraction matches the independent analysis image byte-for-byte,high,established,BIN-DOS-SW-01 LE header/object/page map,sha256 of scripted object1 equals prior extraction,scripts/extract_dos_le.py,docs/PHASE2.md
WIN-STATE-002,state/gameplay,The Win32 state-2 gameplay region is an orchestrator with 77 distinct direct-call targets; the densest static call sites include crt_rand (56) and the transparent sprite blitter (49),high,established,BIN-WIN-SW-01 direct-call inventory over 0x0040BAB9-0x00411D86,inventory regenerated by scripts/analyze_direct_calls.py,scripts/analyze_direct_calls.py,docs/PHASE2.md
WIN-TIME-003,timing/render-platform,"Win32 explicitly waits for vertical blank through 0x004018F0 -> 0x004061E0 -> IDirectDraw::WaitForVerticalBlank, independently of the QPC limiter",high,established,BIN-WIN-SW-01 0x004018F0 and 0x004061E0; DirectDraw vtable slot 0x58,8 direct WaitForVerticalBlank call instructions occur inside the true state-2 entry routine before its 0x004115BD return; three additional nearby calls belong to adjacent helpers. DOS has matching special-presentation retrace sites.,,docs/TIMING.md
WIN-AUD-001,audio/gameplay,0x00420020 implements a 20-entry reusable SFX voice pool: it scans DirectSound status and starts the first non-playing slot,high,established,BIN-WIN-SW-01 0x00420020 + DirectSound wrappers 0x00406730/0x00406860,25 static call instructions from state-2 gameplay region,,docs/PHASE2.md
WIN-COLL-001,gameplay/collision,Win32 0x00401F60 performs an inclusive point-vs-entity hitbox test using entity +0x28/+0x2A extents,high,established,BIN-WIN-SW-01 0x00401F60,0x00401780 computes +0x28/+0x2A from sprite dimensions using 0.85,src/gameplay/collision.cpp,docs/reverse/COLLISION.md
WIN-COLL-002,gameplay/collision,Win32 0x00401FA0 performs palette-index-zero-transparent pixel collision against the entity current frame,high,established,BIN-WIN-SW-01 0x00401FA0,0x00401660 uses the same current-frame table and index-zero transparency rule,src/gameplay/collision.cpp,docs/reverse/COLLISION.md
WIN-ENT-001,structures/gameplay,Win32 common entity +0x10/+0x14 are velocity X/Y and +0x28/+0x2A are collision extents derived from sprite width/height * 0.85,high,established,0x00401780 init; 0x00401E60 and 0x00402770 copy/inherit +0x10/+0x14; collision routines consume +0x28/+0x2A,multiple effect spawners write randomized velocities into +0x10/+0x14,include/drone/gameplay/collision.hpp,docs/reverse/STRUCTURE_RECOVERY.md
WIN-FB-001,rendering/platform,"Win32 renders into a guarded software 320x200 indexed framebuffer at 0x004D9594 and explicitly copies 64,000 logical bytes to the locked pitched DirectDraw surface",high,established,startup 0x00407C06-0x00407C35; copy 0x00406B80; presentation call sites,0xFF00 allocation = 204 rows; pointer advanced by two 320-byte rows; 0xFA00 copy size,src/fidelity/indexed_framebuffer.cpp,docs/reverse/FRAMEBUFFER_PIPELINE.md
WIN-TEXT-001,rendering/ui,Win32 0x00401470 is a bitmap-font text renderer using font2.jba and glyph descriptors indexed by ASCII minus 0x20,high,established,0x00401470 lazy loader + glyph loop,callers pass START GAME/INSTRUCTIONS/VERTICAL RETRACE/SYNC ON/SYNC OFF and framebuffer,,docs/reverse/FRAMEBUFFER_PIPELINE.md
WIN-FX-001,gameplay/effects,"Explosion effects are pool-based 0x154 entities with mini/large/composite emitters, randomized debris, inherited velocity, and mapped explode/expscale DirectSound voice pools",high,partial,0x00401E60; 0x00402050; 0x00402430; 0x004024B0; 0x00402770; 0x004027B0; 0x00402900,asset/audio init maps miniexp1/miniexp2/explode assets and explode2/3/4/expscale WAV pools,,docs/reverse/GAMEPLAY_EFFECTS.md
WIN-RENDER-001,rendering/framebuffer,Win32 precomputes a 200-entry uint16 row-offset table containing y*320 and uses it in the transparent blitter; logical framebuffer height global is initialized to 200,high,established,0x00407BBC-0x00407BD7 startup loop; 0x00401660 read at 0x0047FCB8; initialized data 0x0042B140=200,table spans exactly 400 bytes to 0x0047FE48 and last offset fits uint16,src/fidelity/sprite_blit.cpp,docs/reverse/FRAMEBUFFER_PIPELINE.md
WIN-PLAYER-001,gameplay/player,"Win32 player is common entity root 0x00466B18; Left/Right move X by 2, A/Z move Y by 1, with exact normal bounds X=2..297 and Y=120..175",high,established,BIN-WIN-SW-01 state-2 input/player path around 0x0040C6xx-0x0040C8xx; player root consumers,ship.jba init/render/death paths all converge on 0x00466B18; README discrepancy retained,src/gameplay/player.cpp,docs/reverse/PLAYER.md
WIN-PLAYER-002,gameplay/player/rendering,ship.jba supplies a 15-frame 22x22 banking ring; horizontal input advances around the ring and neutral input recenters toward frame 0 on the animation tick,high,established,ship entity initialization and 15 calls to 0x00401860; state-2 frame update path,clean extractor reproduces 15 metadata-hashed frames from canonical sheet,src/gameplay/player.cpp; scripts/analyze_sprite_sheets.py,docs/reverse/PLAYER.md
WIN-MISSILE-001,gameplay/projectiles,"Normal Ctrl rapid fire uses an 8-entry 0x154 projectile pool at 0x0042F200 with cooldown 0..8, spawn at player+(11,-3), Y-=3 update, 3-frame animation, y<0 edge flag and y<-7 retirement",high,established,BIN-WIN-SW-01 0x0040CA2C-0x0040CB8E; 0x0040E2E0-0x0040E36A; 0x0040F06F-0x0040F31D,pool init/asset extraction and render loop 0x00410AF1-0x00410B3x agree on capacity/entity stride/state,src/gameplay/rapid_missile.cpp,docs/reverse/RAPID_MISSILES.md
WIN-MISSILE-002,gameplay/projectiles/audio/assets,Rapid-fire pool entries are 1x9 sprites sharing three frames from missile.jba; SFX pool 0x00446028 is initialized from missile.wav and selected by the Ctrl-fire path,high,established,BIN-WIN-SW-01 0x00407D3B pool init; 0x0040A432 asset load/extract; 0x0041F4F0 audio init; 0x0040CAB3 fire audio,metadata-only clean extraction yields exactly three 1x9 frame hashes,scripts/analyze_sprite_sheets.py; tools/drone_gameplay_probe.cpp,docs/reverse/RAPID_MISSILES.md
WIN-SHIELD-001,gameplay/input/shield,Win32 Space-key path is shield activation rather than normal fire; its reusable SFX pool at 0x004336A8 is initialized from shields.wav,high,established,BIN-WIN-SW-01 0x0040C971-0x0040CA25 and audio init mapping at 0x0041F8xx,supplied README documents Space=shield and Ctrl=rapid fire,,docs/ORIGINAL_BEHAVIOR.md
WIN-SPECIAL-001,gameplay/special-weapons/assets,"Win32 Probe and Stinger are two frame choices of one 3x8 common entity rooted at 0x0045A148: +0x140/frame 0 is probe.jba, frame 1 is redprobe.jba, +0x141 is 2 and +0x142 is the lifecycle state",high,established,BIN-WIN-SW-01 init 0x00407E09-0x00407E27; asset extraction 0x0040A31F-0x0040A393,README identifies blue Probe and red Stinger; common entity offsets match WIN-STRUCT-002,src/gameplay/special_weapon.cpp; scripts/analyze_sprite_sheets.py,docs/reverse/SPECIAL_WEAPONS.md
WIN-SPECIAL-002,gameplay/special-weapons/input,Down Arrow loads inactive special state 0 -> 1 and cycles Probe/Stinger only after a 12-update +0x36 progress gate; Up Arrow launches state 1 -> 3,high,established,BIN-WIN-SW-01 0x0040CB8E-0x0040CDB3; reset 0x0041878F-0x004187B4,README documents Down=load/toggle and Up=launch; ignite2.wav and probe3.wav mappings agree with transitions,src/gameplay/special_weapon.cpp,docs/reverse/SPECIAL_WEAPONS.md
WIN-SPECIAL-003,gameplay/special-weapons/homing,Movable special states advance Y by -2 and steer X exactly one pixel per update; Stinger frame 1 aims at selected hostile center while normal Probe frame 0 aims at the drone.jba entity X+4,high,established,BIN-WIN-SW-01 0x0040DEEE-0x0040E0C7,0x00446080 is initialized 15x38 and populated from drone.jba; README describes Stinger hostile homing and Probe Drone homing,src/gameplay/special_weapon.cpp,docs/reverse/SPECIAL_WEAPONS.md
WIN-PROBE-001,gameplay/probe/disarm,A launched frame-0 blue Probe colliding with the drone.jba entity enters special activity state 2 and begins a two-stage decode/disarm timer sequence,high,established,BIN-WIN-SW-01 collision 0x0040F62D-0x0040F7FD; decode progression 0x0040CDB3-0x0040CEE8,README states blue Probe attaches to a Drone then decodes/disarms it,src/gameplay/special_weapon.cpp,docs/reverse/SPECIAL_WEAPONS.md
WIN-DIFF-001,gameplay/difficulty,"Win32 global 0x0042B1A8 is difficulty level 1=BEGINNER, 2=INTERMEDIATE, 3=ADVANCED; normal Probe decode thresholds multiply randomized base durations by this value",high,established,difficulty menu 0x0041A8C9-0x0041A9D2; Probe collision timer setup 0x0040F777-0x0040F7D5,README states Probe decoding/disarming duration depends on skill level,,docs/reverse/SPECIAL_WEAPONS.md; docs/ORIGINAL_BEHAVIOR.md
FMT-DEMO-002,demo/format,Canonical Win32 replay storage is 2101 frames x 14 ASCII integers; 0x0041A460 writes %d\n and 0x0041A5F0 loads %d into nine signed-byte and five signed-word channel arrays,high,established,BIN-WIN-SW-01 0x0041A460-0x0041A7BF,all seven Windows demo files parse to exactly 2101 records,src/formats/demo.cpp,docs/formats/DEMO_DAT.md
WIN-DEMO-001,demo/playback,0x00440594 is demo playback mode: attract/demo transition sets it to 1; normal gameplay clears it; state2 substitutes replay channels and suppresses selected live RNG when active,high,established,BIN-WIN-SW-01 demo selector + state2 consumers,fixed Probe decode thresholds 210/150 only under this mode,src/gameplay/demo_replay.cpp,docs/reverse/DEMO_REPLAY.md
WIN-DEMO-002,demo/replay,Replay channels 1-6 encode Left Right Up-special Down-special Space-shield Ctrl-missile; channels 7-9 encode trajectory group slot X offset and path family; 10-12 encode bomb event/X/Y; 13-14 encode Drone X/Y,high,established,BIN-WIN-SW-01 state2 channel consumers and recording writers,canonical corpus value distributions and asset/entity mappings agree,include/drone/formats/demo.hpp; include/drone/gameplay/demo_replay.hpp,docs/reverse/DEMO_REPLAY.md
WIN-DEMO-003,demo/projectiles,Replay fields 10-12 deterministically recreate bomb.jba projectile spawns from the 0x004651A0 pool; live recording writes the resulting bomb flag/X/Y,high,established,BIN-WIN-SW-01 0x0040D949-0x0040DDA3 and bomb asset init 0x00407D70/0x0040A4B2,bomb.jba clean metadata extraction yields three 1x9 frames,scripts/analyze_sprite_sheets.py; src/gameplay/demo_replay.cpp,docs/reverse/DEMO_REPLAY.md
WIN-DEMO-004,demo/trajectory,"Replay fields 7-9 are playback/script channels; the canonical Win32 executable contains no gameplay writer to their arrays, unlike live-recorded controls/bombs/Drone checkpoints",high,established,complete static reference search for 0x0043E588 0x00462A48 0x0047EC40,references are limited to load/save/playback plus adjacent boundary use,scripts/analyze_demo_assets.py,docs/reverse/DEMO_REPLAY.md
CROSS-DEMO-001,demo/cross-build,DOS and Windows shareware copies of DEMOA2 DEMOA4 DEMOB1 DEMOB3 are byte-for-byte identical by SHA-256,high,established,canonical DOS/Windows corpus hashes,scripts/analyze_demo_assets.py reproduces all four matches,manifests/demo_replays.csv,docs/reverse/DEMO_REPLAY.md
WIN-DEMO-005,demo/recording,0x00466B00 is a recording-enabled flag: when nonzero state2 writes replay channels and advances frame index; terminal path saves demo.dat then clears it,high,established,BIN-WIN-SW-01 recording gates in input/bomb/Drone paths and 0x0040C349-0x0040C356,0x0041A460 serializes the same channel arrays,,docs/reverse/DEMO_REPLAY.md
WIN-BOMB-001,gameplay/projectiles,"Win32 bomb pool 0x004651A0 has canonical capacity 10; active bombs use three 1x9 bomb.jba frames, Y += 2 per update, optional three-frame animation, logical bounds X 0..319/Y 0..190, and later retirement at Y > 198",high,established,BIN-WIN-SW-01 0x00407D65-0x00407D9F; 0x0040A4B2-0x0040A56A; 0x0040E36C-0x0040E49B; 0x0040F330-0x0040F35F,bomb.jba metadata extraction yields three 1x9 frames; initialized 0x0042B1A4 data value is 10,include/drone/gameplay/enemy_bomb.hpp; src/gameplay/enemy_bomb.cpp,docs/reverse/ENEMY_BOMBS.md
WIN-BOMB-002,gameplay/projectiles,"Live bomb spawn writes rand()%3 to common entity +0x10 as horizontal steering magnitude; demo playback restores recorded X/Y but explicitly writes +0x10 = 0, so replay bombs fall vertically",high,established,BIN-WIN-SW-01 live 0x0040DCCC-0x0040DCE0; playback 0x0040D9D2-0x0040DA05; update 0x0040E3D9-0x0040E446,demo channels 10-12 contain only spawn/X/Y and no steering channel,src/gameplay/enemy_bomb.cpp; src/gameplay/demo_replay.cpp,docs/reverse/ENEMY_BOMBS.md; docs/reverse/DEMO_REPLAY.md
WIN-BOMB-003,gameplay/collision,"Player bomb impact always deactivates the bomb. With shield inactive it auto-launches a merely loaded special weapon, plays the bigexp3.wav voice pool, and calls player destruction; with shield active it skips player death, zeroes bomb motion, and converts the bomb through spawn_mini_explosion_sprite.",high,established,BIN-WIN-SW-01 0x0040F4BB-0x0040F589; audio initialization 0x0041F6CF-0x0041F739,0x004603A8 source string resolves to bigexp3.wav; same player_shield_active flag gates shield renderer,include/drone/gameplay/enemy_bomb.hpp; src/gameplay/enemy_bomb.cpp,docs/reverse/ENEMY_BOMBS.md; docs/reverse/SHIELD.md
WIN-SHIELD-002,gameplay/shield,"Player shield energy is a 32-bit accumulator at 0x0047FCB0; HUD displays energy>>16, nominal reset is 75<<16, each gameplay update recharges +0x514 while the high word is below 75, and active shield drains 0xBB80 before negative clamp to zero.",high,established,BIN-WIN-SW-01 state2 shield/recharge path and HUD 0x0041EB70,README documents rechargeable Space-key shield; shields.wav pool is independently mapped,include/drone/gameplay/shield.hpp; src/gameplay/shield.cpp,docs/reverse/SHIELD.md
WIN-SHIELD-003,gameplay/shield/render,0x0046198C is the per-update player shield-active/protection flag; rendering gates 0x0041E6D0 on it and collision paths use the same protection state.,high,established,BIN-WIN-SW-01 Space/demo-shield path plus player render/collision readers,shields.wav cadence path and HUD energy ownership agree,include/drone/gameplay/shield.hpp; src/gameplay/shield.cpp,docs/reverse/SHIELD.md
WIN-TIME-004,timing/input,"Win32 VK_TAB directly negates 0x0042B1B4 between +1 and -1; the same feedback path renders VERTICAL RETRACE plus SYNC ON/OFF, and state-2 performs the 15000-count QPC busy wait only when the value is +1.",high,established,BIN-WIN-SW-01 0x0040C39C-0x0040C4B9 and 0x0041144D-0x00411496,README says Tab toggles vertical retrace sync and disabling it makes the game run faster,,docs/TIMING.md; docs/ORIGINAL_BEHAVIOR.md
WIN-SPECIAL-004,gameplay/special-weapons/lifecycle,Special state 4 is a hole-interaction state entered when a launched Probe/Stinger collides with the active hole.jba entity and rendered together with that hole; state 10 is a generic impact-consumed terminal state that the common special dispatcher resets to inactive on the next update.,high,established,BIN-WIN-SW-01 0x0040EB67-0x0040EBBF; 0x004100DD-0x00410105; 0x004126D9-0x00412853,state 10 has many enemy collision producers; state4 is the sole special case that co-renders hole.jba with the special entity,include/drone/gameplay/special_weapon.hpp; src/gameplay/special_weapon.cpp,docs/reverse/SPECIAL_WEAPONS.md
DOS-TIME-002,timing/input,"DOS Tab key-state offset 0x0F negates the retrace-sync scalar at data offset 0xD0 between +1/-1; initialization writes +1, UI reports VERTICAL RETRACE SYNC ON/OFF, and gameplay/presentation site 0x0007DC89 calls 0x0006940C only when the scalar equals +1.",high,established,BIN-DOS-SW-01 0x00078338-0x00078461; 0x0007DC89-0x0007DC97; 0x00080BD6; object-4 strings at offsets 0x5298/0x52AC/0x52B8,README documents Tab vertical retrace sync; Win32 independently uses the same +1/-1 Tab protocol,,docs/TIMING.md; docs/ORIGINAL_BEHAVIOR.md
WIN-LIFE-001,gameplay/player-lifecycle,"0x0042B1AC is player_lives: normal session initialization writes 3, hidden L-key cheat writes 9, HUD reads/clamps it, and state-2 routes non-positive values to post-game/results processing.",high,established,BIN-WIN-SW-01 0x00417FA7; 0x0040C379-0x0040C399; 0x00410FD3; 0x0040BAB9-0x0040BAC2,L-key message state displays <L> KEY GRANTED NINE LIVES!,include/drone/gameplay/player_lifecycle.hpp; src/gameplay/player_lifecycle.cpp,docs/reverse/PLAYER_LIFECYCLE.md
WIN-LIFE-002,gameplay/player-lifecycle,"Player destruction does not decrement lives. State-2 later consumes a life only after world/death-effect/player/Drone gates pass, then resets shield energy, player frame and position before respawn or final-life game-over handling.",high,established,BIN-WIN-SW-01 0x0040E272-0x0040E2DB; player destruction routine 0x0041CDF0 lacks life decrement,"respawn writes known canonical 147,175 position and 75<<16 shield reset",include/drone/gameplay/player_lifecycle.hpp; src/gameplay/player_lifecycle.cpp; tests/test_formats.cpp,docs/reverse/PLAYER_LIFECYCLE.md
WIN-GAMEOVER-001,gameplay/ui,"0x0041E420 is a dedicated gameover.jba banner slide: 117x20 sprite starts X=325/Y=90, fixed-X velocity 270000 decreases by 2500 per presented frame, yielding 108 vertical-blank-paced iterations and final X=100.",high,established,BIN-WIN-SW-01 startup 0x00407CA6-0x00407CED; init 0x00417FE6-0x00418018; routine 0x0041E420-0x0041E4C8,clean fixed-point model reaches velocity 0 and X=100 after exactly 108 steps; metadata extractor hashes gameover.jba frame,include/drone/gameplay/game_over.hpp; src/gameplay/game_over.cpp; tests/test_formats.cpp,docs/reverse/PLAYER_LIFECYCLE.md
WIN-BOMB-004,gameplay/projectiles/player-lifecycle,"0x00438C14 is a shared enemy-bomb spawn gate/cooldown that saturates at 5, is reset to 0 by bomb spawns, begins a session at -450, and is driven to -540 by player destruction; respawn waits for the same counter to exceed -356.",high,established,BIN-WIN-SW-01 0x0040C04A-0x0040C055; 0x0040DABD; 0x0040DA70; 0x00417F/0x0041829C init; 0x0041CE13; 0x0040E272,multiple independent bomb scheduler sites compare the same scalar to 5; canonical death terminal byte is 27 so -20*27=-540,include/drone/gameplay/enemy_bomb.hpp; src/gameplay/enemy_bomb.cpp; tests/test_formats.cpp,docs/reverse/ENEMY_BOMBS.md; docs/reverse/PLAYER_LIFECYCLE.md
WIN-DRONE-OUTCOME-001,gameplay/objectives/results,"The six-Drone result ledger at 0x00472590 uses raw values 0=unresolved, 1=disarmed, 2=detonated; 0x00433B54 advances the processed objective count up to six.",high,established,BIN-WIN-SW-01 0x0040BF94-0x0040BFAE; 0x0040E6E3-0x0040E708; 0x004116CF-0x00411718,post-game uses count(value==1) directly to select disarm0.jba..disarm6.jba; original README defines six Drones with disarmed/detonated HUD states,include/drone/gameplay/mission_outcome.hpp; src/gameplay/mission_outcome.cpp,docs/reverse/DRONE_OUTCOMES.md
WIN-RESULT-001,gameplay/results/audio,Post-game results select disarm art by disarmed Drone count and choose music in exact order: all-six+raw variant2 -> hiphop.wav; else >4 detonated -> moon.wav; else <4 disarmed -> suspense.wav; else choral.wav.,high,established,BIN-WIN-SW-01 0x004116F1-0x0041185A,literal asset strings disarm0..6/disarm6m and choral/suspense/moon/hiphop resolve at referenced VAs,include/drone/gameplay/mission_outcome.hpp; src/gameplay/mission_outcome.cpp; tests/test_formats.cpp,docs/reverse/DRONE_OUTCOMES.md
WIN-SCORE-001,gameplay/scoring,0x004D95F4 is total score and 0x004D95F8 is a separate rolling extra-life progress accumulator; normal signed score events apply the same delta to both.,high,established,BIN-WIN-SW-01 score award/penalty writers and post-results score reader,documented score events plus clean signed-delta tests,include/drone/gameplay/scoring.hpp; src/gameplay/scoring.cpp; tests/test_gameplay.cpp,docs/reverse/SCORING.md
WIN-SCORE-002,gameplay/scoring/lives,"State 2 grants one life when extra-life progress is >=500 and subtracts exactly 500, consuming at most one threshold per update and preserving remainder.",high,established,BIN-WIN-SW-01 state-2 threshold/decrement path,README says extra life every 500 points; clean 505 and 1000-point edge tests,src/gameplay/scoring.cpp; tests/test_gameplay.cpp,docs/reverse/SCORING.md; docs/ORIGINAL_BEHAVIOR.md
WIN-SCORE-003,gameplay/scoring,Drone detonation subtracts 1000 from total score with a floor at zero and clears extra-life progress; HUD normalization floors negatives and subtracts one 9999 block from score per HUD pass.,high,established,BIN-WIN-SW-01 0x0041D220 detonation path and HUD score normalization path,README documents -1000 Drone penalty; clean edge tests preserve exact arithmetic,src/gameplay/scoring.cpp; tests/test_gameplay.cpp,docs/reverse/SCORING.md
WIN-HISCORE-001,gameplay/high-scores/cheat,"The L-key cheat sets player lives to 9 and high-score disqualification flag 0x004461D8 to 1, enters state 99, renders explicit disqualification text, and post-results qualification skips disqualified sessions.",high,established,BIN-WIN-SW-01 0x0040C382 cheat path; state-99 literal-message renderer; post-results gate around 0x00411C8E,README documents L grants nine lives and invalidates high score,include/drone/gameplay/high_scores.hpp; src/gameplay/high_scores.cpp; tests/test_gameplay.cpp,docs/reverse/HIGH_SCORES.md; docs/ORIGINAL_BEHAVIOR.md
WIN-HISCORE-002,gameplay/high-scores,"The Win32 table has 10 entries ordered lowest-to-highest; qualification uses strict new_score > existing_score, and insertion discards the lowest entry then shifts parallel arrays through the selected index.",high,established,BIN-WIN-SW-01 post-results scan 0x00411CA6-0x00411CDF and 0x0041AFB0 insertion path,parallel score/name/stat arrays shift together; clean tie/insertion tests,include/drone/high_score.hpp; src/gameplay/high_scores.cpp; tests/test_gameplay.cpp,docs/reverse/HIGH_SCORES.md
WIN-SCORES-001,format/high-scores,The Win32 runtime scores file stores ten logical name+four-number entries using a per-value clear-text three-digit padding count and large random filler runs between meaningful characters/digits; original reader and writer algorithms are recovered.,high,established,BIN-WIN-SW-01 0x004174D0/0x00417570/0x00417700 readers and 0x0041F120/0x0041F220/0x0041F390 writers,clean compatible encoder/decoder round-trip ten-entry tables,include/drone/formats/scores.hpp; src/formats/scores.cpp; tests/test_gameplay.cpp,docs/formats/SCORES.md; docs/reverse/HIGH_SCORES.md
DOS-SCORES-001,format/high-scores,"The DOS shareware build independently implements the same ten-record scores persistence structure and filler-obfuscation algorithm as Win32: 30-byte name stride, name plus four numbers, three random decimal noise digits, padding rand()%400+300, three more noise digits, then padding filler before each meaningful character/digit.",high,established,BIN-DOS-SW-01 0x000894FC-0x00089Dxx; object4 strings scores/wt/rt/%d/%c,independent Win32 reader/writer functions implement the same constants and sequence,include/drone/formats/scores.hpp; src/formats/scores.cpp; tests/test_gameplay.cpp,docs/formats/SCORES.md; docs/reverse/DOS_WINDOWS_CORRESPONDENCE.md
WIN-HISCORE-003,gameplay/high-scores/statistics,"All four persisted high-score numerics are semantically resolved: Drones disarmed, score, Mothership destroyed, and Percentage hit.",high,established,BIN-WIN-SW-01 high-score insertion producers plus Mothership flag 0x00464B90 and accuracy arithmetic,DOS high-score producers match Drones/score/percentage semantics; original Disarm results art labels Percentage Hit,include/drone/high_score.hpp; src/formats/scores.cpp; tests/test_gameplay.cpp,docs/reverse/HIGH_SCORES.md; docs/formats/SCORES.md
WIN-MOTHERSHIP-001,gameplay/mothership/assets,"Win32 0x00413290 is the Mothership asset initializer, loading the hull0..3, panel0..3, damage0/1, hub, motor and hole JBA cluster for the encounter reached after six resolved Drones.",high,established,BIN-WIN-SW-01 0x00413290 asset-string references and destination entities; post-six-Drone transition call,README registered-game description says all six disarmed Drones lead to the alien Mothership; same filenames exist in DOS/Windows shareware corpora,,docs/reverse/MOTHERSHIP.md
WIN-MOTHERSHIP-002,gameplay/mothership/destruction,"A state-4 Stinger collision with Mothership core target 0x00472598 can enter common-entity state 2 after motor conditions are satisfied; a counter then reaches threshold 15, awards +500 to score/progress, plays thunder2.wav, and sets live mothership_destroyed flag 0x00464B90=1.",high,established,BIN-WIN-SW-01 0x00412820-0x00412873 and 0x00412C1F-0x00412C89; 0x004185BC threshold init,0x004726DA is exactly entity+0x142; high-score insertion persists 0x00464B90; registered Mothership behavior documented by README,include/drone/high_score.hpp; src/formats/scores.cpp,docs/reverse/MOTHERSHIP.md; docs/reverse/SPECIAL_WEAPONS.md; docs/reverse/HIGH_SCORES.md
WIN-RESULT-002,gameplay/results/mothership,The former raw result variant byte 0x004726DA is the +0x142 activity/state field of Mothership core target entity 0x00472598; state 2 marks the destruction-sequence outcome used later to select disarm6m.jba and the all-six hiphop.wav results branch.,high,established,BIN-WIN-SW-01 entity init at 0x0040832E; state write 0x00412865; destruction update 0x00412C1F; results test at 0x0041171D,common entity layout establishes +0x142 activity/state byte; Mothership asset/transition cluster owns surrounding logic,src/gameplay/mission_outcome.cpp,docs/reverse/MOTHERSHIP.md; docs/reverse/DRONE_OUTCOMES.md
